Time,EcoName,NumActiveSites,AboveGroundBiomass_confsens,AboveGroundBiomass_confrslt,AboveGroundBiomass_brdlsens,AboveGroundBiomass_brdlrslt,
0, 1, 10000, 5820.99, 6738.4264, 9207.6707, 2969.9203, 
10, 1, 10000, 5141.4622, 6349.0518, 8916.8881, 2882.3042, 
