Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,MgBiomassRemoved,MgBioRemovedPerDamagedHa,TotalCohortsPartialHarvest,TotalCohortsCompleteHarvest,CohortsHarvested_confsens,CohortsHarvested_confrslt,CohortsHarvested_brdlsens,CohortsHarvested_brdlrslt,BiomassHarvestedMg_confsens,BiomassHarvestedMg_confrslt,BiomassHarvestedMg_brdlsens,BiomassHarvestedMg_brdlrslt,
10, 1, MM2-1_DO1, 54, 3, 130, 26545, 100, 100, 1153.84, 11.54, 297, 0, 0, 0, 121, 176, 0, 0, 563.4, 590.44, 
10, 1, MM2-1_DO1, 64, 7, 130, 26545, 100, 100, 1316.21, 13.16, 415, 0, 40, 45, 135, 195, 80.54, 133.71, 507.08, 594.88, 
10, 1, MM1-1_DO1, 74, 23, 122, 984, 100, 100, 4712.9, 47.13, 736, 0, 221, 187, 220, 108, 1357.45, 1036.2, 2106.48, 212.77, 
10, 1, MM1-1_DO1, 84, 28, 123, 984, 100, 100, 4704.22, 47.04, 738, 0, 223, 197, 218, 100, 1449.89, 1141.48, 1918.66, 194.19, 
10, 1, MM2-1_DO1, 94, 29, 123, 22786, 100, 100, 1529.11, 15.29, 613, 0, 102, 117, 169, 225, 204.77, 345.68, 431.26, 547.4, 
10, 1, MM2-1_DO1, 5, 94, 114, 1197, 100, 86, 1232.96, 14.34, 252, 0, 149, 103, 0, 0, 632.589999999999, 600.37, 0, 0, 
10, 1, MM1-1_DO1, 15, 67, 127, 643, 100, 100, 4460.78, 44.61, 396, 0, 169, 227, 0, 0, 1680.34, 2780.44, 0, 0, 
10, 1, MM1-1_DO1, 25, 89, 116, 570, 100, 100, 4477.91, 44.78, 371, 0, 152, 219, 0, 0, 1915.41, 2562.5, 0, 0, 
10, 1, MM2-1_DO1, 35, 79, 128, 8138, 100, 93, 1140.93, 12.27, 278, 0, 42, 29, 77, 130, 176.57, 173.34, 350.6, 440.42, 
10, 1, MM2-1_DO1, 45, 48, 122, 16275, 100, 100, 1196.93, 11.97, 300, 0, 0, 0, 125, 175, 0, 0, 618.44, 578.49, 
10, 1, MM2-1_DO1, 55, 87, 129, 4883, 100, 100, 1202.74, 12.03, 305, 0, 0, 0, 121, 184, 0, 0, 559.56, 643.18, 
10, 1, MM2-1_DO1, 65, 57, 126, 14648, 100, 100, 1342.32, 13.42, 430, 0, 37, 52, 144, 197, 74.17, 155.87, 525.69, 586.59, 
10, 1, MM1-1_DO1, 75, 30, 126, 982, 100, 100, 4733.5, 47.34, 737, 0, 202, 216, 222, 97, 1276.55, 1447.27, 1829.84, 179.84, 
10, 1, MM1-1_DO1, 85, 50, 120, 949, 100, 100, 4721.84, 47.22, 715, 0, 216, 185, 224, 90, 1462.71, 982.46, 2101.74, 174.93, 
